,barcode,brandId,description,itemPrice,deleted,competitiveProduct
0,4011,,ITEM NOT FOUND,26.00,,
1,028400642255,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,,
2,1234,,,2.56,,
3,046000832517,,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,,
4,013562300631,,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,,
5,034100573065,,MILLER LITE 24 PACK 12OZ CAN,29,,
6,075925306254,,,1,,True
7,041000168468,,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1,,
8,2700719497082,,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,1,,
9,079400066619,,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,,True
10,051500720011,,JIF CRMY PNT BTR JAR 40 OZ,2,,
11,087684001127,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,
12,071040063102,,,0.99,,True
13,029000079236,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,
14,041129002292,,CLASSICO Traditional Basil Pesto 14OZ 12pack,1,,
15,043000946060,,K9 Crystal Chandelier with 4 Lights in Globe Shape,1,,
16,044700009888,,"OSCAR MAYER Cotto Salami, 12 oz",9.99,,
17,021000012961,,,1,,True
18,021000678358,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,
19,044700033302,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,,
20,021000059232,,,10,,True
21,043000004944,,"MAXWELL HOUSE Orange International Cafe Beverage Mix, 9.3 OZ",1,,
22,759283400082,,KRAFT BACK TO NATURE CHEDDAR CHEESE SHELL MACARONI AND CHEESE MIX 6 OZ - 0759283400081,1,,
23,025800000135,,SMART MADE Rosemary Grilled Beef & Vegetables 9 OZ Box,5,,
24,043000043486,,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,,
25,029000024748,,NATURE TREE Walnuts 8oz,9.99,,
