,id,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,purchaseDate,pointsEarned,bonusPointsEarned,bonusPointsEarnedReason,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
0,5ff1e1eb0a720f0523000575,2021-01-03 07:25:31.000,2021-01-03 07:25:31.000,2021-01-03 07:25:31.000,2021-01-03 07:25:36.000,2021-01-03 07:25:31,2021-01-02 16:00:00,500.0,500,1,5,FINISHED,26.00,5ff1e1eacfcf6c399c274ae6
1,5ff1e1bb0a720f052300056b,2021-01-03 07:24:43.000,2021-01-03 07:24:43.000,2021-01-03 07:24:43.000,2021-01-03 07:24:48.000,2021-01-03 07:24:43,2021-01-02 07:24:43,150.0,150,2,2,FINISHED,11.00,5ff1e194b6a9d73a3a9f1052
2,5ff1e1f10a720f052300057a,2021-01-03 07:25:37.000,2021-01-03 07:25:37.000,,2021-01-03 07:25:42.000,,2021-01-02 16:00:00,5,5,3,1,REJECTED,10.00,5ff1e1f1cfcf6c399c274b0b
3,5ff1e1ee0a7214ada100056f,2021-01-03 07:25:34.000,2021-01-03 07:25:34.000,2021-01-03 07:25:34.000,2021-01-03 07:25:39.000,2021-01-03 07:25:34,2021-01-02 16:00:00,5.0,5,3,4,FINISHED,28.00,5ff1e1eacfcf6c399c274ae6
4,5ff1e1d20a7214ada1000561,2021-01-03 07:25:06.000,2021-01-03 07:25:06.000,2021-01-03 07:25:11.000,2021-01-03 07:25:11.000,2021-01-03 07:25:06,2021-01-02 07:25:06,5.0,5,3,2,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052
5,5ff1e1e40a7214ada1000566,2021-01-03 07:25:24.000,2021-01-03 07:25:24.000,2021-01-03 07:25:25.000,2021-01-03 07:25:30.000,2021-01-03 07:25:25,2021-01-02 07:25:24,750.0,750,4,1,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3
6,5ff1e1cd0a720f052300056f,2021-01-03 07:25:01.000,2021-01-03 07:25:01.000,2021-01-03 07:25:02.000,2021-01-03 07:25:02.000,2021-01-03 07:25:02,2021-01-03 07:25:01,5.0,5,3,1,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052
7,5ff1e1a40a720f0523000569,2021-01-03 07:24:20.000,2021-01-03 07:24:20.000,2021-01-03 07:24:21.000,2021-01-03 07:24:21.000,2021-01-03 07:24:21,2020-12-26 16:00:00,500.0,500,1,1,FINISHED,10.00,5ff1e194b6a9d73a3a9f1052
8,5ff1e1ed0a7214ada100056e,2021-01-03 07:25:33.000,2021-01-03 07:25:33.000,2021-01-03 07:25:34.000,2021-01-03 07:25:38.000,2021-01-03 07:25:34,2021-01-02 16:00:00,5.0,5,3,5,FINISHED,20.00,5ff1e1eacfcf6c399c274ae6
9,5ff1e1eb0a7214ada100056b,2021-01-03 07:25:31.000,2021-01-03 07:25:31.000,2021-01-03 07:25:31.000,2021-01-03 07:25:36.000,2021-01-03 07:25:31,2021-01-02 16:00:00,250.0,250,5,3,FINISHED,20.00,5ff1e1eacfcf6c399c274ae6
