,receiptsId,itemId,discountedItemPrice,priceAfterCoupon,finalPrice,itemPurchased,needsFetchReview,needsFetchReviewReason,pointsEarned,metabriteCampaignId,preventTargetGapPoints
0,5ff1e1eb0a720f0523000575,0,,,26.00,,False,,,,True
1,5ff1e1bb0a720f052300056b,0,,,1,,,,,,
2,5ff1e1bb0a720f052300056b,1,,,10.00,,True,USER_FLAGGED,,,True
3,5ff1e1ee0a7214ada100056f,0,,,28.00,,False,,,,True
4,5ff1e1d20a7214ada1000561,0,,,1,,,,,,
5,5ff1e1d20a7214ada1000561,2,,,2.56,,True,USER_FLAGGED,,,True
6,5ff1e1e40a7214ada1000566,0,,,3.25,,False,,,,True
7,5ff1e1a40a720f0523000569,3,,,10.00,,,,,,
8,5ff1e1ed0a7214ada100056e,0,,,20.00,,False,,,,True
9,5ff1e1eb0a7214ada100056b,0,,,20.00,,False,,,,True
10,5ff1e1c50a720f052300056c,0,,,1,,,,,,
11,5ff1e1a10a720f0523000568,4,50.00,,50.00,,True,POINTS_GREATER_THAN_THRESHOLD,,,
12,5ff1e1b60a7214ada100055c,5,,,29,,,,870.0,,
13,5ff1e1b60a7214ada100055c,5,,,29,,,,870.0,,
14,5ff1e1b60a7214ada100055c,5,,,29,,,,870.0,,
15,5ff1e1b60a7214ada100055c,5,,,29,,,,870.0,,
16,5ff1e1b60a7214ada100055c,5,,,29,,,,870.0,,
17,5ff1e1b60a7214ada100055c,5,,,29,,,,870.0,,
18,5ff1e1b60a7214ada100055c,5,,,29,,,,870.0,,
19,5ff1e1b60a7214ada100055c,5,,,29,,,,870.0,,
20,5ff1e1b60a7214ada100055c,5,,,29,,,,870.0,,
21,5ff1e1b60a7214ada100055c,5,,,29,,,,870.0,,
22,5f9c74f70a7214ad07000037,6,,,1,,,,,,
23,5ff1e1b20a7214ada100055a,0,,,1,,,,,,
24,5ff1e1df0a7214ada1000564,0,,,1,,False,,,,
25,5ff1e1df0a7214ada1000564,1,,,10.00,,False,,,,True
26,5ff1e1b40a7214ada100055b,6,,,1,,,,,,
27,5ff1e1eb0a720f0523000576,0,,,26.00,,False,,,,True
28,5ff1e1c80a720f052300056d,0,,,1,,,,,,
29,5ff1e1c80a720f052300056d,2,,,,,True,USER_FLAGGED,,,True
30,5f9c74f90a7214ad07000038,6,,,1,,False,,,,
